file_path,file_name,mall_folder,recibos_subgroup,recibos_year_folder,recibos_year,no_servicio,cuenta,tarifa,periodo_inicio_raw,periodo_fin_raw,periodo_inicio,periodo_fin,kwh,importe,pagos_pendientes,billing_days,period_key,pdf_no_servicio_nunique,pdf_cuenta_nunique,flag_pdf_mixed_no_servicio,flag_pdf_mixed_cuenta,kwh_por_dia,importe_por_dia,costo_por_kwh,flag_missing_kwh,flag_missing_dates,flag_bad_days
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/ADOLFO DOMINGUEZ.pdf,ADOLFO DOMINGUEZ.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671171100421,32DK04G013530132,PDBT,20 JUN 25,20 AGO 25,2025-06-20,2025-08-20,2658,12857.0,12857.0,62.0,2025-06-20__2025-08-20,1,1,False,False,42.87096774193548,207.3709677419355,4.837095560571859,False,False,False
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/ADOLFO DOMINGUEZ.pdf,ADOLFO DOMINGUEZ.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671171100421,32DK04G013530132,PDBT,23 ABR 25,20 JUN 25,2025-04-23,2025-06-20,2479,11699.0,11699.0,59.0,2025-04-23__2025-06-20,1,1,False,False,42.016949152542374,198.28813559322035,4.719241629689391,False,False,False
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/ADOLFO DOMINGUEZ.pdf,ADOLFO DOMINGUEZ.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671171100421,32DK04G013530132,PDBT,20 FEB 25,23 ABR 25,2025-02-20,2025-04-23,2448,11554.0,11554.0,63.0,2025-02-20__2025-04-23,1,1,False,False,38.857142857142854,183.3968253968254,4.719771241830065,False,False,False
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/ADOLFO DOMINGUEZ.pdf,ADOLFO DOMINGUEZ.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671171100421,32DK04G013530132,PDBT,23 DIC 24,20 FEB 25,2024-12-23,2025-02-20,2238,10555.0,10555.0,60.0,2024-12-23__2025-02-20,1,1,False,False,37.3,175.91666666666666,4.716264521894549,False,False,False
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/ADOLFO DOMINGUEZ.pdf,ADOLFO DOMINGUEZ.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671171100421,32DK04G013530132,PDBT,23 OCT 24,23 DIC 24,2024-10-23,2024-12-23,2376,11209.0,11209.0,62.0,2024-10-23__2024-12-23,1,1,False,False,38.32258064516129,180.79032258064515,4.717592592592593,False,False,False
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/ADOLFO DOMINGUEZ.pdf,ADOLFO DOMINGUEZ.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671171100421,32DK04G013530132,PDBT,22 AGO 24,23 OCT 24,2024-08-22,2024-10-23,2539,11973.0,11973.0,63.0,2024-08-22__2024-10-23,1,1,False,False,40.301587301587304,190.04761904761904,4.715636077195747,False,False,False
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/ADOLFO DOMINGUEZ.pdf,ADOLFO DOMINGUEZ.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671171100421,32DK04G013530132,PDBT,20 JUN 24,22 AGO 24,2024-06-20,2024-08-22,2626,12310.0,12310.0,64.0,2024-06-20__2024-08-22,1,1,False,False,41.03125,192.34375,4.687738004569688,False,False,False
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/ADOLFO DOMINGUEZ.pdf,ADOLFO DOMINGUEZ.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671171100421,32DK04G013530132,PDBT,22 ABR 24,20 JUN 24,2024-04-22,2024-06-20,2507,11540.0,11540.0,60.0,2024-04-22__2024-06-20,1,1,False,False,41.78333333333333,192.33333333333334,4.603111288392501,False,False,False
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/ADOLFO DOMINGUEZ.pdf,ADOLFO DOMINGUEZ.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671171100421,32DK04G013530132,PDBT,22 FEB 24,22 ABR 24,2024-02-22,2024-04-22,2401,11056.0,11056.0,61.0,2024-02-22__2024-04-22,1,1,False,False,39.36065573770492,181.24590163934425,4.604748021657643,False,False,False
/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/ADOLFO DOMINGUEZ.pdf,ADOLFO DOMINGUEZ.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,671171100421,32DK04G013530132,PDBT,21 DIC 23,22 FEB 24,2023-12-21,2024-02-22,2133,9716.0,9716.0,64.0,2023-12-21__2024-02-22,1,1,False,False,33.328125,151.8125,4.555086732301922,False,False,False
