source_utility,document_type,cliente_nombre,no_servicio,cuenta,rmu,rpu,limite_pago,corte_a_partir,periodo_inicio,periodo_fin,tarifa,medidor,multiplicador,no_hilos,lectura_actual_kwh,lectura_anterior_kwh,kwh_total,importe_total,cargo_fijo,subtotal_energia,subtotal,iva,fac_del_periodo,total_linea,tiene_consumo_historico,historico_count,file_path,file_name,mall_folder,recibos_subgroup,recibos_year_folder,recibos_year,parse_status,parse_error,text_len,pdfplumber_text_len,used_ocr,text_source,text_source_reason,extracted_pages,parsed_at
CFE,cfe_bill,OUTLET DEL CALZADO SA DE CV,671180400607,79DK04G014150012,29040180406,,2025-08-09,2025-08-10,2025-06-25,2025-07-25,GDMTO,CKL628MULTIPLICADOR,80,3,,,,,395.84,39212.90,40360.51,6457.68,,46819.07,False,0,/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/15 CFE TUXTLA GUTIERREZ 671180400607 09082025 FACTURA.pdf,15 CFE TUXTLA GUTIERREZ 671180400607 09082025 FACTURA.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,ok,,5257,5257,False,pdfplumber,ok,2,2026-03-03T20:15:45
CFE,cfe_bill,CORPORATIVO FASHION MORELIA SR,671240751226,32DK04G013530161,29040240903,,2025-11-07,2025-11-08,2025-08-20,2025-10-21,GDBT,GCU187MULTIPLICADOR,1,3,,,,,802.24,34079.06,34881.30,5581.01,,40462.85,False,0,/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/ADIDAS.pdf,ADIDAS.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,ok,,4919,4919,False,pdfplumber,ok,2,2026-03-03T20:15:45
CFE,cfe_bill,MODA NUDO MIXTECO S DE R L DE,671171100421,32DK04G013530132,29040171107,,2025-11-07,2025-11-08,2025-08-20,2025-10-21,PDBT,392RRU,1,3,12204,9619,2585,12456,80.22,10657.97,10738.19,1718.11,12456.30,12456.30,True,11,/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/ADOLFO DOMINGUEZ.pdf,ADOLFO DOMINGUEZ.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,ok,,5127,5127,False,pdfplumber,ok,2,2026-03-03T20:15:46
CFE,cfe_bill,AT&T COMUNICACIONES DIGITALES,671180602111,32DK04G013530451,29040180620,,2025-11-07,2025-11-08,2025-08-20,2025-10-21,PDBT,CGP377,1,3,2626,96825,5801,27837,80.22,23917.53,23997.75,3839.64,27837.39,27837.39,True,11,/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/AT&T 1.pdf,AT&T 1.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,ok,,3539,3539,False,pdfplumber,ok,2,2026-03-03T20:15:46
CFE,cfe_bill,REPRESENTACIONES EN TELEFONIA,671240551685,32DK04G013532338,29040240516,,2025-11-07,2025-11-08,2025-08-20,2025-10-21,PDBT,GCR555,1,3,20632,18764,1868,9027,80.22,7701.75,7781.97,1245.12,9027.09,9027.09,True,8,/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/AT&T 2.pdf,AT&T 2.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,ok,,4931,4931,False,pdfplumber,ok,2,2026-03-03T20:15:47
CFE,cfe_bill,SANCHEZ MARTINEZ EDSON,671230253228,32DK04G013530292,29040230228,,2025-11-07,2025-11-08,2025-08-20,2025-10-21,PDBT,CGP319,1,3,53790,49846,3944,18956,80.22,16261.12,16341.34,2614.61,18955.95,18955.95,True,10,/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/BARBER JASS.pdf,BARBER JASS.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,ok,,3512,3512,False,pdfplumber,ok,2,2026-03-03T20:15:48
CFE,cfe_bill,DIUZ HNOS S.A DE C.V,671231251521,32DK04G013530448,29040231220,,2025-11-07,2025-11-08,2025-08-20,2025-10-21,GDBT,CGU412MULTIPLICADOR,1,3,,,,,802.24,49739.36,49278.06,7884.49,,57163.33,False,0,/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/BELLA PANDITA.pdf,BELLA PANDITA.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,ok,,5168,5168,False,pdfplumber,ok,2,2026-03-03T20:15:48
CFE,cfe_bill,LENTES GALILEO SAPI DE CV,671220550518,32DK04G013530436,29040220505,,2025-11-07,2025-11-08,2025-08-20,2025-10-21,PDBT,87T07E,1,3,68945,65363,3582,17224,80.22,14768.59,14848.81,2375.81,17224.62,17224.62,True,11,/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/BEN & FRANK.pdf,BEN & FRANK.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,ok,,3519,3519,False,pdfplumber,ok,2,2026-03-03T20:15:49
CFE,cfe_bill,GUOQIU ZHENG .,671250151049,79DK04G014150026,29040250116,,2025-10-11,2025-10-12,2025-08-27,2025-09-29,GDMTO,CKL097MULTIPLICADOR,80,3,,,,,435.43,31213.13,33120.85,5299.34,,38420.85,False,0,/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/BUFFETE 168.pdf,BUFFETE 168.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,ok,,3567,3567,False,pdfplumber,ok,2,2026-03-03T20:15:49
CFE,cfe_bill,OPERADORA EXE SA DE CV,671180803841,79DK04G014150017,29070180829,,2025-10-11,2025-10-12,2025-08-27,2025-09-29,GDMTO,R964BNMULTIPLICADOR,1,3,,,,,435.43,18060.38,18695.93,2991.35,,21687.98,False,0,/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/BURGUER KING.pdf,BURGUER KING.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,ok,,5264,5264,False,pdfplumber,ok,2,2026-03-03T20:15:49
CFE,cfe_bill,IMAGEN COSMETICA S.A.P.I. DE C,671181201691,32DK04G013530444,29040181213,,2025-09-07,2025-09-08,2025-06-20,2025-08-20,PDBT,655RRT,1,3,47898,46793,1105,5399,80.22,4574.58,4654.80,744.77,5399.57,5399.57,True,11,/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/Bellisima.pdf,Bellisima.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,ok,,3516,3516,False,pdfplumber,ok,2,2026-03-03T20:15:50
CFE,cfe_bill,LEGADO CACAO CHIAPANECO SA CV,671170802936,32DK04G013532326,29040170820,,2025-11-07,2025-11-08,2025-08-20,2025-10-21,PDBT,GCR786,1,3,59404,50036,9368,43954,80.22,38624.25,37891.68,6062.67,43954.35,43954.35,True,11,/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/CACAO NATIVA.pdf,CACAO NATIVA.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,ok,,5225,5225,False,pdfplumber,ok,2,2026-03-03T20:15:50
CFE,cfe_bill,OPERADORA DE NEGOCIOS MSO DE M,671180702611,79DK04G014150013,29040180723,,2025-10-11,2025-10-12,2025-08-27,2025-09-29,GDMTO,CKK830MULTIPLICADOR,80,3,,,,,435.43,80262.50,80994.90,12959.18,,93955.05,False,0,/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/CARLS JR.pdf,CARLS JR.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,ok,,5316,5316,False,pdfplumber,ok,2,2026-03-03T20:15:51
CFE,cfe_bill,CARTERS BRANDS,671240751129,32DK04G013530449,29040240710,,2025-09-07,2025-09-08,2025-06-20,2025-08-20,PDBT,GCR588,1,3,,,,,8022,27927.77,28007.99,4481.28,32489.27,,True,2,/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/CARTERS.pdf,CARTERS.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,ok,,3731,0,True,ocr,too_short<80,2,2026-03-03T20:15:57
CFE,cfe_bill,,671220450742,32DK04G013530446,29040220406,,2025-11-07,2025-11-08,2025-08-20,2025-10-21,PDBT,596RRT,1,3,,,,,80.22,6448.38,6528.60,1044.58,7573.18,,True,2,/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/CHURRERIA PORFIRIO.pdf,CHURRERIA PORFIRIO.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,ok,,4096,10286,True,ocr,cid_garbage(1022),2,2026-03-03T20:16:02
CFE,cfe_bill,JOYAS PLAZA GALERIAS SA DE CV,671170803304,32DK04G013530100,29040170820,,2025-11-07,2025-11-08,2025-08-20,2025-10-21,PDBT,97T16E,1,3,37399,34909,2490,12002,80.22,10266.27,10346.49,1655.44,12001.93,12001.93,True,11,/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/CRISTAL JOYAS.pdf,CRISTAL JOYAS.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,ok,,3476,3476,False,pdfplumber,ok,2,2026-03-03T20:16:02
CFE,cfe_bill,"C&A MEXICO, S. DE R.L.",671230854043,79DK04G014150023,29040230831,,2025-10-11,2025-10-12,2025-08-27,2025-09-29,GDMTO,CGR425MULTIPLICADOR,1,3,,,,,435.43,67317.33,75258.41,12041.35,,87300.20,False,0,/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/CYA.pdf,CYA.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,ok,,3744,3744,False,pdfplumber,ok,2,2026-03-03T20:16:03
CFE,cfe_bill,ADSUR,673220450427,32DK04G013530133,29040220428,,2025-11-07,2025-11-08,2025-08-20,2025-10-21,PDBT,116AB3,1,3,98398,86023,12375,59279,80.22,51022.14,51102.36,8176.38,59278.74,59278.74,True,11,/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/DDQ.pdf,DDQ.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,ok,,5132,5132,False,pdfplumber,ok,2,2026-03-03T20:16:03
CFE,cfe_bill,OPERADORA ROFAR SA DE CV.,671210352441,32DK04G013530371,29040210311,,2025-09-07,2025-09-08,2025-06-20,2025-08-20,PDBT,517RK1,1,3,2334,97981,4353,20997,80.22,18020.99,18101.21,2896.19,20997.40,20997.40,True,11,/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/DOMINOS PIZZA.pdf,DOMINOS PIZZA.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,ok,,5044,5044,False,pdfplumber,ok,2,2026-03-03T20:16:04
CFE,cfe_bill,,673201100237,32DK04G013530379,29040201118,,2025-09-07,2025-09-08,2025-06-20,2025-08-20,PDBT,381AB0,1,3,,,,,80.22,7000.57,7080.79,1132.93,8213.72,,True,1,/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/DO„A MACHETES.pdf,DO„A MACHETES.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,ok,,5508,12913,True,ocr,cid_garbage(1182),2,2026-03-03T20:16:09
CFE,cfe_bill,TRADING EXPERT SA DE CV,671170803487,32DK04G013530430,29040170823,,2025-11-07,2025-11-08,2025-08-20,2025-10-21,PDBT,73T19E,1,3,67966,67041,925,4517,80.22,3813.79,3894.01,623.04,4517.05,4517.05,True,11,/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/EL GALEON.pdf,EL GALEON.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,ok,,5069,5069,False,pdfplumber,ok,2,2026-03-03T20:16:10
CFE,cfe_bill,IMPULSORA DEPORTIVA DEL SUREST,671180700325,32DK04G013530401,29040180705,,2025-11-07,2025-11-08,2025-08-20,2025-10-21,PDBT,512RRT,1,3,45954,43222,2732,13159,80.22,11264.05,11344.27,1815.08,13159.35,13159.35,True,11,/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/ELITE LOCKERS.pdf,ELITE LOCKERS.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,ok,,3534,3534,False,pdfplumber,ok,2,2026-03-03T20:16:10
CFE,cfe_bill,JUNHONG ZHEN,671231150058,32DK04G013531372,29040230902,,2025-11-07,2025-11-08,2025-08-20,2025-10-21,PDBT,UN922T,1,2,,,,,80.22,8485.12,8565.34,1370.45,9935.79,,False,0,/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/GOODTEA.pdf,GOODTEA.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,ok,,5457,13631,True,ocr,cid_garbage(1276),2,2026-03-03T20:16:15
CFE,cfe_bill,GRUPO ALGEDI S. DE R.L DE C.V,671231054253,32DK04G013530241,29040231123,,2025-09-07,2025-09-08,2025-06-20,2025-08-20,PDBT,PX876L,1,3,16478,14690,1788,8679,80.22,7402.15,7482.37,1197.18,8679.55,8679.55,True,8,/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/HANG TEN.pdf,HANG TEN.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,ok,,4854,4854,False,pdfplumber,ok,2,2026-03-03T20:16:16
CFE,cfe_bill,DOMINGUEZ CORZO ELIZABETH,671230952967,32DK04G013532319,29040230922,,2025-11-07,2025-11-08,2025-08-20,2025-10-21,PDBT,GCR557,1,3,7742,6741,1001,4881,80.22,4127.13,4207.35,673.18,4880.53,4880.53,True,6,/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/HIPOCAMPO.pdf,HIPOCAMPO.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,ok,,3274,3274,False,pdfplumber,ok,2,2026-03-03T20:16:16
CFE,cfe_bill,HAIXIN . HUANG,671230150488,32DK04G013530447,29040230106,,2025-11-07,2025-11-08,2025-08-20,2025-10-21,PDBT,CGP715,1,3,,,,,80.22,32060.45,32140.67,5142.51,37283.18,,True,9,/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/HOMAY.pdf,HOMAY.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,ok,,4254,10660,True,ocr,cid_garbage(1069),2,2026-03-03T20:16:21
CFE,cfe_bill,CONTROLADORA HOTELERA POH,671180302397,82DK04G014004410,29040180228,,2025-09-13,2025-09-14,2025-07-31,2025-08-31,GDMTH,GC640DMULTIPLICADOR,700,3,,,14682,,401.12,129185.91,126347.35,20215.58,,,False,0,/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/HOTEL.pdf,HOTEL.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,ok,,5307,5307,False,pdfplumber,ok,2,2026-03-03T20:16:21
CFE,cfe_bill,GRUPO JULIO SA DE CV,671170803231,32DK04G013532331,29040170820,,2025-11-07,2025-11-08,2025-08-20,2025-10-21,PDBT,394AB6,1,3,79671,76456,3215,15470,80.22,13255.44,13335.66,2133.71,15469.37,15469.37,True,11,/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/JULIO.pdf,JULIO.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,ok,,5106,5106,False,pdfplumber,ok,2,2026-03-03T20:16:22
CFE,cfe_bill,ALIMENTOS Y FRANQUICIAS DE CHI,671171202592,79DK04G014150035,29070171221,,2025-10-11,2025-10-12,2025-08-27,2025-09-29,GDMTO,RKA686MULTIPLICADOR,1,3,,,,,435.43,16241.79,17589.13,2814.26,,20403.40,False,0,/Users/jjesusricojericomelgoiza/Allux_Fraternity/01. V1_Ambar Fashion Mall Tuxtla/7. Recibos CFE/RECIBOS LUZ LOCATARIOS/KFC.pdf,KFC.pdf,01. V1_Ambar Fashion Mall Tuxtla,RECIBOS LUZ LOCATARIOS,,,ok,,5289,5289,False,pdfplumber,ok,2,2026-03-03T20:16:22
